Filename,Index,carbonization_method,biomass_precursor,temperature_carbonization_min_max (Celcius),time_carbonization_min_max (min),surface_area_min_max (m2/g),distance_particlesize_min_max (m),adsorption_cap_mass_mass_min_max (g/g),H/C_min_max (no_dimension),C/N_min_max (no_dimension),O/C_min_max (no_dimension),C/O_min_max (no_dimension),N/C_min_max (no_dimension),C/H_min_max (no_dimension),C_min_max (%),H_min_max (%),O_min_max (%),N_min_max (%),S_min_max (%),P_min_max (%),TOC_min_max (%),K_min_max (%),hhv_min_max (J/g)
PDF00000,0,pyrolysis,,450.0 450.0,,190.0 190.0,0.001 0.003,0.00454 0.00679,0.004 0.7,,0.14 0.14,,,,,,,,,,,,
PDF00001,0,,lignocellulosic materials,,,,,,,,,,,,,,,,,,,,
PDF00001,1,,raw material,,,,,,,,,,,,,,,,,,,,
PDF00001,2,,woody biomass,,,,,,,,,,,,,,,,,,,,
PDF00002,0,pyrolysis,,500.0 500.0,,,20.0 60.0,,,,,,,,,,,,,,,,
PDF00005,0,pyrolysis,,,,,,,,,,,,,,,,,,,,,
PDF00006,0,,,,,65.89 1400.0,,,1.0 1.0,,,1630.7 1630.7,,,,,,,,,,,
PDF00008,0,,,,,,0.001 0.15,,,,,,,,,,,,,,,,
PDF00010,0,pyrolysis,,,,,2e-07 2e-07,,,,,,,,,,,,,,,,
PDF00010,1,pyrolyzing,,,,,2e-07 2e-07,,,,,,,,,,,,,,,,
PDF00011,0,hydrocarbon,,,,10.13 354.0,,,,,,,,,,,,,,,,,
PDF00011,1,pyrolyze,,,,10.13 354.0,,,,,,,,,,,,,,,,,
PDF00011,2,pyrolyzed,,,,10.13 354.0,,,,,,,,,,,,,,,,,
PDF00011,3,pyrolysis,,,,10.13 354.0,,,,,,,,,,,,,,,,,
PDF00012,0,pyrolysis,loblolly pine,105.0 105.0,,627.0 768.0,6e-09 0.00025,,,,,,,,,,,,,,,,
PDF00012,1,pyrolysis,pine sawdust,105.0 105.0,,627.0 768.0,6e-09 0.00025,,,,,,,,,,,,,,,,
PDF00013,0,hydrocarbon,,700.0 700.0,,,53.0 67.0,,,,,,,,,,,,,,,,5000.0 44000.0
PDF00013,1,pyrolysis,,700.0 700.0,,,53.0 67.0,,,,,,,,,,,,,,,,5000.0 44000.0
PDF00014,0,hydrothermal,raw material,400.0 1400.0,,,0.004 0.005,,,,,,,,,,,,,,,,
PDF00014,1,pyrolysis,raw material,400.0 1400.0,,,0.004 0.005,,,,,,,,,,,,,,,,
PDF00014,2,torrefaction,raw material,400.0 1400.0,,,0.004 0.005,,,,,,,,,,,,,,,,
PDF00016,0,pyrolysis,lignocellulosic materials,700.0 700.0,,130.0 1150.0,,,,,,,,,,,,,,,,,
PDF00016,1,pyrolysis,biomass feedstock,700.0 700.0,,130.0 1150.0,,,,,,,,,,,,,,,,,
PDF00017,0,pyrolyze,,600.0 600.0,,42.0 42.0,0.2 0.2,,,,,,,,,,,,,,,,
PDF00017,1,pyrolyzed,,600.0 600.0,,42.0 42.0,0.2 0.2,,,,,,,,,,,,,,,,
PDF00018,0,pyrolysis,maize straw,400.0 500.0,,200.0 200.0,,,,,,,,,,,,,,,,,
PDF00018,1,pyrolysis,corn straw,400.0 500.0,,200.0 200.0,,,,,,,,,,,,,,,,,
PDF00019,0,,,,,220.7 1056.0,0.00045 0.00045,0.355 0.35503,,,,,,,,,,,,,,,
PDF00021,0,,,,,5.1 5.1,4e-09 6e-08,,,,,,,,,,,,,,,,
PDF00022,0,,,350.0 350.0,,,,,,,,,,,,,,,,,,,
PDF00023,0,pyrolysis,waste compost,400.0 400.0,,,0.002 0.002,,,,,,,,,,,,,,,,
PDF00025,0,pyrolysis,corn stalk,,,,,,,88.94 88.94,,,,,,,,,,,,,
PDF00026,0,hydrocarbon,,,,,,,,,,,,,2.0 2.0,,,,,,,,
PDF00028,0,pyrolysis,,,,,,,,,,,,,,,,,,,,,
PDF00029,0,,rice straw,,,,,,,,,,,,,,,,,,,,
PDF00031,0,pyrolysis,,,,,,,,,,,,,,,,,,,,,
PDF00031,1,pyrolyzing,,,,,,,,,,,,,,,,,,,,,
PDF00031,2,pyrolyze,,,,,,,,,,,,,,,,,,,,,
PDF00031,3,pyrolyzed,,,,,,,,,,,,,,,,,,,,,
PDF00032,0,pyrolysis,,500.0 500.0,,4.07 4.07,,,,,,,,,,,,,,,,,
PDF00033,0,pyrolyzing,swine manure,750.0 750.0,360.0 360.0,,0.001 0.001,,,,,,,,,,,,,,,,
PDF00033,1,pyrolysis,swine manure,750.0 750.0,360.0 360.0,,0.001 0.001,,,,,,,,,,,,,,,,
PDF00034,0,,rice husk,,,,,,,,,,,,,,,,,,,,
PDF00037,0,pyrolysis,raw biomass,200.0 700.0,,,,,,,,,,,,,,,,,,,
PDF00038,0,pyrolysis,,,,,,,,,0.09 0.09,,,,,,,,,,,,
PDF00039,0,pyrolysis,wood chip,,,27.0 566.0,,,,,,,,,,,,,,,,,
PDF00039,1,pyrolyze,wood chip,,,27.0 566.0,,,,,,,,,,,,,,,,,
PDF00039,2,pyrolyzed,wood chip,,,27.0 566.0,,,,,,,,,,,,,,,,,
PDF00040,0,,,,,,,,,,,,,,0.03 73.68,,,,,,,,
PDF00041,0,pyrolysis,wheat straw,450.0 450.0,,215.0 215.0,,,,,,,,,,,,,,,,,
PDF00042,0,pyrolysis,tomato plants,200.0 250.0,,0.1 1661.0,,,,,,,,,,,,,,,,,
PDF00042,1,hydrocarbon,tomato plants,200.0 250.0,,0.1 1661.0,,,,,,,,,,,,,,,,,
PDF00042,2,gasification,tomato plants,200.0 250.0,,0.1 1661.0,,,,,,,,,,,,,,,,,
PDF00042,3,hydrothermal,tomato plants,200.0 250.0,,0.1 1661.0,,,,,,,,,,,,,,,,,
PDF00042,4,gasifier,tomato plants,200.0 250.0,,0.1 1661.0,,,,,,,,,,,,,,,,,
PDF00042,5,pyrolyze,tomato plants,200.0 250.0,,0.1 1661.0,,,,,,,,,,,,,,,,,
PDF00042,6,pyrolyzed,tomato plants,200.0 250.0,,0.1 1661.0,,,,,,,,,,,,,,,,,
PDF00043,0,pyrolyze,rice straw,,,26.45 26.45,,,,,,,,,,,,,,,,,
PDF00043,1,pyrolyzed,rice straw,,,26.45 26.45,,,,,,,,,,,,,,,,,
PDF00043,2,pyrolysis,rice straw,,,26.45 26.45,,,,,,,,,,,,,,,,,
PDF00044,0,pyrolysis,swine manure,,,,,,,,,,,,,,,,,,,,15000.0 20000.0
PDF00044,1,hydrothermal,swine manure,,,,,,,,,,,,,,,,,,,,15000.0 20000.0
PDF00045,0,,wheat straw,600.0 600.0,,1.0 23.2,,0.04766 0.11302,,,,,,,,,,,,,,,
PDF00047,0,,rice roots,300.0 300.0,,,,,,,,,,,,,,,,,,,
PDF00048,0,pyrolysis,,,,,,,,,,,,,,,,,,,,,
PDF00050,0,pyrolysis,peanut hull,700.0 1000.0,10.0 10.0,358.0 1116.0,,,,,,,,,,,,,,,,,
PDF00051,0,,wood chip,900.0 900.0,60.0 60.0,50.0 500.0,,,,,,,,,,,,,,,,,
PDF00052,0,hydrocarbon,,,,,,,,,,,,,,,,,,,,,
PDF00052,1,pyrolysis,,,,,,,,,,,,,,,,,,,,,
PDF00054,0,pyrolyze,corn straw,500.0 500.0,,,,,,,,,,,,,,,,,,,
PDF00054,1,pyrolyzed,corn straw,500.0 500.0,,,,,,,,,,,,,,,,,,,
PDF00056,0,gasified,,,,,,,0.21 0.21,,0.03 0.03,,,,,,,,,,,,
PDF00056,1,pyrolyze,,,,,,,0.21 0.21,,0.03 0.03,,,,,,,,,,,,
PDF00056,2,pyrolyzed,,,,,,,0.21 0.21,,0.03 0.03,,,,,,,,,,,,
PDF00057,0,pyrolysis,pig manure,,,,0.00045 0.00045,,,,,,,,,,,,,,,,
PDF00057,1,pyrolyzing,pig manure,,,,0.00045 0.00045,,,,,,,,,,,,,,,,
PDF00058,0,hydrochar,,,,,,,,,,,,,,,,,,,,,
PDF00059,0,pyrolysis,coconut shell,450.0 450.0,,,3e-10 2e-08,,,,,,,,,,,,,,,,
PDF00059,1,pyrolyze,coconut shell,450.0 450.0,,,3e-10 2e-08,,,,,,,,,,,,,,,,
PDF00059,2,pyrolyzed,coconut shell,450.0 450.0,,,3e-10 2e-08,,,,,,,,,,,,,,,,
PDF00060,0,pyrolysis,,,,,0.00015 0.00045,,,,,,,,,,,,,,,,
PDF00061,0,pyrolysis,,,,52.5 376.7,,,,,,,,,,,,,,,,,
PDF00062,0,pyrolyze,,,,,,0.14286 0.14286,,,,,,,,,,,,,,,
PDF00062,1,pyrolyzed,,,,,,0.14286 0.14286,,,,,,,,,,,,,,,
PDF00062,2,pyrolysis,,,,,,0.14286 0.14286,,,,,,,,,,,,,,,
PDF00063,0,pyrolyzing,wheat straw,300.0 700.0,,6.47 6.47,,,,,,,,,,,,,,,,,
PDF00063,1,pyrolyze,wheat straw,300.0 700.0,,6.47 6.47,,,,,,,,,,,,,,,,,
PDF00063,2,pyrolyzed,wheat straw,300.0 700.0,,6.47 6.47,,,,,,,,,,,,,,,,,
PDF00065,0,pyrolysis,maize stover,500.0 500.0,120.0 120.0,,0.002 0.01,,,,,,,,,,,,,,,,
PDF00065,1,pyrolysis,rice hull,500.0 500.0,120.0 120.0,,0.002 0.01,,,,,,,,,,,,,,,,
PDF00065,2,pyrolysis,rice straw,500.0 500.0,120.0 120.0,,0.002 0.01,,,,,,,,,,,,,,,,
PDF00066,0,,coconut shell,,,5.4 951.84,,,,,,,,,,,,,,,,,
PDF00068,0,,pine wood,800.0 1000.0,480.0 480.0,,0.005 5.0,,,,,,,,,,,,,,,,
PDF00069,0,pyrolyze,,,,5.28 5.28,0.002 0.002,,,,,,,,,,,,,,,,
PDF00069,1,pyrolyzed,,,,5.28 5.28,0.002 0.002,,,,,,,,,,,,,,,,
PDF00069,2,pyrolysis,,,,5.28 5.28,0.002 0.002,,,,,,,,,,,,,,,,
PDF00070,0,pyrolysis,wood waste,500.0 600.0,,,,,,,,,,,,,,,,,,,
PDF00072,0,,animal waste,400.0 600.0,,,,,,,,,,,,,,,,,,,
PDF00072,1,,cow manure,400.0 600.0,,,,,,,,,,,,,,,,,,,
PDF00072,2,,poultry manure,400.0 600.0,,,,,,,,,,,,,,,,,,,
PDF00072,3,,rice husk,400.0 600.0,,,,,,,,,,,,,,,,,,,
PDF00073,0,,cow manure,,,,,,,,,,,,,,,,,,,,
PDF00073,1,,manure compost,,,,,,,,,,,,,,,,,,,,
PDF00073,2,,poultry manure,,,,,,,,,,,,,,,,,,,,
