,PDF_ID,Title,Publication Year
PDF00000,57794_9078,Influence of Intrinsic Properties of Lignocellulosic Feedstock on Adsorptive Properties of Biochar,2018
PDF00001,48846_7273,Biochar as a Carrier of Struvite Precipitation for Nitrogen and Phosphorus Recovery from Urine,2018
PDF00002,54077_8347,Accumulators for the Capture of Heavy Metals in Thermal Conversion Systems,2018
PDF00003,32286_4842,Template for a Publication in the International Journal of Technology,2018
PDF00004,42257_6529,Efficient removal of aqueous Pb(II) using partially reduced graphene oxide-Fe3O4,2018
PDF00005,40535_6362,Removal of ammonium from fish farms by biochar obtained from rice straw: Isotherm and kinetic studies for ammonium adsorption,2018
PDF00006,48823_7614,Removal of nitrobenzene from aqueous solution by adsorption onto carbonized sugarcane bagasse,2018
PDF00007,37853_3906,Press Quality(1).joboptions,2018
PDF00008,31624_4801,b'046.092.0102.pdf',2018
PDF00009,57890_7286,Sulfur-infiltrated yeast-derived nitrogen-rich porous carbon microspheres @ reduced graphene cathode for high-performance lithium-sulfur batteries,2018
PDF00010,51853_6699,Preparation of highly conductive biochar nanoparticles for rapid and sensitive detection of 17&beta;-estradiol in water,2018
PDF00011,71501_10628,Ultrasound cavitation intensified amine functionalization_ A feasible strategy for enhancing CO2 capture capacity of biochar,2018
PDF00012,36393_5392,Nanostructured molybdenum carbide on biochar for CO2 reforming of CH4,2018
PDF00013,56931_8830,Combustion of the foamed emulsion containing biochar microparticles,2018
PDF00014,57843_7353,Performance improvement in olive stone's combustion from a previous carbonization transformation,2018
PDF00015,66321_9407,Impact of hydrothermal carbonization conditions on the formation of hydrochars and secondary chars from the organic fraction of municipal solid waste,2018
PDF00016,43735_7103,Impact of biochar amendments on the quality of a typical Midwestern agricultural soil,2010
PDF00017,59629_8547,Effect of biochar addition on hydraulic functions of two textural soils,2018
PDF00018,68517_9650,"Impact of biochar addition on soil properties and water-fertilizer productivity of tomato in semi-arid region of Inner Mongolia, China",2018
PDF00019,61441_8164,Enhanced Cr(VI) removal by polyethylenimine- and phosphorus-codoped hierarchical porous carbons,2018
PDF00020,60573_7711,Highly efficient adsorption and recycle of phosphate from wastewater using flower-like layered double oxides and their potential as synergistic flame retardants,2020
PDF00021,64296_7021,Synthesis and characterization of ZnO@RSDBC composites and their Photo-Oxidative degradation of Acid Orange 7 in water,2019
PDF00022,66951_10729,Contrasted effect of biochar and earthworms on rice growth and resource allocation in different soils,2010
PDF00023,47778_7664,"Carbon and trace element fluxes in the pore water of an urban soil following greenwaste compost, woody and biochar amendments, inoculated with the earthworm Lumbricus terrestris",2010
PDF00024,75430_12393,Biochar-mediated changes in soil quality and plant growth in a three year field trial,2011
PDF00025,43795_6615,Mechanisms of biochar decreasing methane emission from Chinese paddy soils,2012
PDF00026,63059_10217,The effect of biochar addition on N2O and CO2 emissions from a sandy loam soil - The role of soil aeration,2012
PDF00027,39303_6327,Greenhouse gas emissions from a wastewater sludge-amended soil cultivated with wheat (Triticum spp. L.) as affected by different application rates of charcoal,2012
PDF00028,121290_17075,Effect of exogenous carbonaceous materials on the bioavailability of organic pollutants and their ecological risks,2017
PDF00029,61922_7844,Effect of biochar amendment on the alleviation of antibiotic resistance in soil and phyllosphere of Brassica chinensis L.,2018
PDF00030,89556_12548,Problems associated to kinetic fitting of incubation data,2018
PDF00031,78295_10529,Tree taxa and pyrolysis temperature interact to control pyrogenic organic matter induced native soil organic carbon priming,2018
PDF00032,89437_11244,Biochar reduces soil heterotrophic respiration in a subtropical plantation through increasing soil organic carbon recalcitrancy and decreasing carbon-degrading microbial activity,2018
PDF00033,60868_8144,Soil fungal taxonomic and functional community composition as affected by biochar properties,2018
PDF00034,31120_3832,Laser-induced breakdown spectroscopy determination of K in biochar-based fertilizers in the presence of easily ionizable element,2018
PDF00035,54199_7172,Uptake of pharmaceuticals by sorbent-amended struvite fertilisers recovered from human urine and their bioaccumulation in tomato fruit,2018
PDF00036,58948_8090,Highly efficient removal of nitrogen and phosphorus in an electrolysis-integrated horizontal subsurface-flow constructed wetland amended with biochar,2018
PDF00037,61992_8234,Phosphorus speciation in sewage sludge and the sludge-derived biochar by a combination of experimental methods and theoretical simulation,2018
PDF00038,69336_8457,Surface properties of activated sludge-derived biochar determine the facilitating effects on Geobacter co-cultures,2018
PDF00039,35587_5821,Reduced plant uptake of pesticides with biochar additions to soil,2009
PDF00040,50005_8084,Simulated geochemical weathering of a mineral ash-rich biochar in a modified Soxhlet reactor,2010
PDF00041,39650_6427,Poor efficacy of herbicides in biochar-amended soils as affected by their chemistry and mode of action,2011
PDF00042,76799_11695,Qualitative analysis of volatile organic compounds on biochar,2011
PDF00043,37964_5998,Adsorption of Pb(II) on variable charge soils amended with rice-straw derived biochar,2012
PDF00044,33215_5253,Textural and chemical properties of swine-manure-derived biochar pertinent to its potential use as a soil amendment,2012
PDF00045,40233_5532,Mechanisms of biochar assisted immobilization of Pb2+ by bioapatite in aqueous solution,2017
PDF00046,60478_7888,A conceptual study on the formulation of a permeable reactive pavement with activated carbon additives for controlling the fate of non-point source environmental organic contaminants,2017
PDF00047,78446_9618,Mechanisms of biochar reducing the bioaccumulation of PAHs in rice from soil: Degradation stimulation vs immobilization,2018
PDF00048,59889_7648,Polycyclic aromatic hydrocarbons in biochar amended soils: Long-term experiments in Brazilian tropical areas,2018
PDF00049,218514_24729,"Humic substances, their microbial interactions and effects on biological transformations of organic pollutants in water and soil: A review",2018
PDF00050,70469_9105,Enhanced biochars can match activated carbon performance in sediments with high native bioavailability and low final porewater PCB concentrations,2018
PDF00051,75177_11245,Nitrifying trickling filters and denitrifying bioreactors for nitrogen management of high-strength anaerobic digestion effluent,2018
PDF00052,60473_8275,Sorption mechanisms of chlorinated hydrocarbons on biochar produced from different feedstocks: Conclusions from single- and bi-solute experiments,2018
PDF00053,74389_10411,"Biochar, wood ash and humic substances mitigating trace elements stress in contaminated sandy loam soil: Evidence from an integrative approach",2018
PDF00054,60033_8336,Use of a hyperaccumulator and biochar to remediate an acid soil highly contaminated with trace metals and/or oxytetracycline,2018
PDF00055,59270_8273,"Maize productivity, heavy metals uptake and their availability in contaminated clay and sandy alkaline soils as affected by inorganic and organic amendments",2018
PDF00056,85394_10643,"Remediation of an acidic mine spoil: Miscanthus biochar and lime amendment affects metal availability, plant growth, and soil enzyme activity",2018
PDF00057,52725_7422,Aging effect of minerals on biochar properties and sorption capacities for atrazine and phenanthrene,2018
PDF00058,69413_9543,Plant and soil responses to hydrothermally converted sewage sludge (sewchar),2018
PDF00059,46731_5663,Treatment of wastewater containing Reactive Brilliant Blue KN-R using TiO2/BC composite as heterogeneous photocatalyst and adsorbent,2018
PDF00060,44530_5946,Impact of pyrolysis conditions on polycyclic aromatic hydrocarbons (PAHs) formation in particulate matter (PM) during sewage sludge pyrolysis,2018
PDF00061,57138_7699,Amendment of soil by biochars and activated carbons to reduce chlordecone bioavailability in piglets,2018
PDF00062,62618_8565,Simultaneous functionalization and magnetization of biochar via NH3 ambiance pyrolysis for efficient removal of Cr (VI),2018
PDF00063,47645_6055,Influence of aromatic structure and substitution of carboxyl groups of aromatic acids on their sorption to biochars,2018
PDF00064,61067_7119,Multi-walled carbon nanotube/amino-functionalized MIL-53(Fe) composites: Remarkable adsorptive removal of antibiotics from aqueous solutions,2018
PDF00065,58103_8076,"Efficiency and surface characterization of different plant derived biochar for cadmium (Cd) mobility, bioaccessibility and bioavailability to Chinese cabbage in highly contaminated soil",2018
PDF00066,59387_7080,Magnetic particles modification of coconut shell-derived activated carbon and biochar for effective removal of phenol from water,2018
PDF00067,37569_4726,Photocatalytic co-oxidation of As(III) and Orange G using urea-derived g-C3N4 and persulfate,2018
PDF00068,59917_7655,Particle size dependence of the physicochemical properties of biochar,2018
PDF00069,47768_5640,Evaluating fluorescent dissolved organic matter released from wetland-plant derived biochar: Effects of extracting solutions,2018
PDF00070,56587_7194,Responses of ammonia volatilization from rice paddy soil to application of wood vinegar alone or combined with biochar,2019
PDF00071,60680_8006,Changes of nutrients and potentially toxic elements during hydrothermal carbonization of pig manure,2020
PDF00072,33855_5781,Biochar influences the microbial community structure during manure composting with agricultural wastes,2012
PDF00073,38319_6115,Stabilization of carbon in composts and biochars in relation to carbon sequestration and soil fertility,2012
PDF00074,51365_7915,The use of biochar to reduce soil PCB bioavailability to Cucurbita pepo and Eisenia fetida,2012
PDF00075,71421_10084,Effect of biochar amendment on compost organic matter composition following aerobic composting of manure,2017
PDF00076,77221_10716,Cadmium solubility and bioavailability in soils amended with acidic and neutral biochar,2017
PDF00077,40646_5035,Enhanced phenanthrene degradation in river sediments using a combination of biochar and nitrate,2018
PDF00078,86700_12120,Biochar modulates heavy metal toxicity and improves microbial carbon use efficiency in soil,2018
PDF00079,60273_8230,Sulfur-modified rice husk biochar: A green method for the remediation of mercury contaminated soil,2018
PDF00080,60676_8588,Use of magnetic biochars for the immobilization of heavy metals in a multi-contaminated soil,2018
PDF00081,50608_6939,"Adsorption of sulfamethoxazole by magnetic biochar: Effects of pH, ionic strength, natural organic matter and 17α-ethinylestradiol",2018
PDF00082,48501_7135,Immobilization of heavy metals in ceramsite produced from sewage sludge biochar,2018
PDF00083,62220_8926,"Degradation of polycyclic aromatic hydrocarbons in a mixed contaminated soil supported by phytostabilisation, organic and inorganic soil additives",2018
PDF00084,52912_7138,Superabsorbent hydrogels coating increased degradation and decreased bound residues formation of carbendazim in soil,2018
PDF00085,53927_7534,Preparation of rice straw-derived biochar for efficient cadmium removal by modification of oxygen-containing functional groups,2018
PDF00086,173481_22342,Cadmium phytoremediation potential of Brassica crop species: A review,2018
PDF00087,49615_7007,Biochar addition for accelerating bioleaching of heavy metals from swine manure and reserving the nutrients,2018
PDF00088,64480_9771,Sequential extraction of nickel and zinc in sewage sludge- or biochar/sewage sludge-amended soil,2018
PDF00089,70090_9050,"The effects of short term, long term and reapplication of biochar on soil bacteria",2018
PDF00090,91018_11773,Plant uptake and translocation of contaminants of emerging concern in soil,2018
PDF00091,48911_7719,"Effect of dissolved organic carbon from sludge, Rice straw and spent coffee ground biochar on the mobility of arsenic in soil",2018
PDF00092,59012_8481,"Adsorption of low concentration perchlorate from aqueous solution onto modified cow dung biochar: Effective utilization of cow dung, an agricultural waste",2018
PDF00093,90370_13185,Bone char vs. S-enriched bone char: Multi-method characterization of bone chars and their transformation in soil,2018
PDF00094,71087_9672,Recovery of phosphate and dissolved organic matter from aqueous solution using a novel CaO-MgO hybrid carbon composite and its feasibility in phosphorus recycling,2018
PDF00095,65357_8661,Field-aged biochar stimulated N2O production from greenhouse vegetable production soils by nitrification and denitrification,2018
PDF00096,65268_9092,Identifying the reducing capacity of biomass derived hydrochar with different post-treatment methods,2018
PDF00097,76270_10344,Effects of biochar on the ecological performance of a subtropical landfill,2018
PDF00098,49720_6490,Immobilization of powdery calcium silicate hydrate via PVA covalent cross-linking process for phosphorus removal,2018
PDF00099,49372_7176,Effect of cassava waste biochar on sorption and release behavior of atrazine in soil,2018
PDF00100,47001_5978,Clanis bilineata larvae skin-derived biochars for immobilization of lead: Sorption isotherm and molecular mechanism,2019
PDF00101,68738_10235,Effect of different tissue biochar amendments on As and Pb stabilization and phytoavailability in a contaminated mine technosol,2020
PDF00102,58939_7919,Concomitant use of Azolla derived bioelectrode as anode and hydrolysate as substrate for microbial fuel cell and electro-fermentation applications,2020
PDF00103,78080_9885,"Combined application of biochar, compost, and bacterial consortia with Italian ryegrass enhanced phytoremediation of petroleum hydrocarbon contaminated soil",2018
PDF00104,53256_8400,Black carbon decomposition under varying water regimes,2009
PDF00105,68937_10839,Contribution to characterisation of biochar to estimate the labile fraction of carbon,2011
PDF00106,64048_10358,Chemical and bioassay characterisation of nitrogen availability in biochar produced from dairy manure and biosolids,2012
PDF00107,39164_6112,Influence of activated carbon and biochar on phytotoxicity of air-dried sewage sludges to Lepidium sativum,2012
PDF00108,151214_20829,Removal of emerging contaminants from the environment by adsorption,2018
PDF00109,40790_5617,Maize straw decorated with sulfide for tylosin removal from the water,2018
PDF00110,67382_9462,Influence of biochar aged in acidic soil on ecosystem engineers and two tropical agricultural plants,2018
PDF00111,59393_8281,"Characterization of an Hg(II)-volatilizing Pseudomonas sp. strain, DC-B1, and its potential for soil remediation when combined with biochar amendment",2018
PDF00112,53589_7825,Effects of softwood biochar on the status of nitrogen species and elements of potential toxicity in soils,2018
PDF00113,54598_8199,Yield advantage and cadmium decreasing of rice in intercropping with water spinach under moisture management,2020
PDF00114,51600_7312,Insights into the effects of long-term biochar loading on water-soluble organic matter in soil_ Implications for the vertical co-migration of heavy metals,2020
PDF00115,49560_8243,Thermal self-sustainability of biochar production by pyrolysis,2011
PDF00116,50232_8376,Quality variations of poultry litter biochar generated at different pyrolysis temperatures,2012
PDF00117,48761_7630,Molecular characterization of Ulex europaeus biochar obtained from laboratory heat treatment experiments – A pyrolysis–GC/MS study,2012
PDF00118,35867_5304,Cement catalyzed conversion of biomass into upgraded bio-oil through microwave metal interaction pyrolysis in aluminum coil reactor,2018
PDF00119,75008_9951,Advanced characterization unravels the structure and reactivity of wood-based chars,2018
PDF00120,46936_6441,Identification and quantification of polycyclic aromatic hydrocarbons generated during pyrolysis of sewage sludge_ Effect of hydrothermal carbonization pretreatment,2018
PDF00121,38949_5239,Novel biomass-derived hybrid TiO2/carbon material using tar-derived secondary char to improve TiO2 bonding to carbon matrix,2018
PDF00122,48908_7055,Pyrolysis of rapeseed oil cake in a fixed bed reactor to produce bio-oil,2018
PDF00123,54967_7834,A predictive model of biochar formation and characterization,2018
PDF00124,55362_7050,Effects of pretreatment and FeCl3 preload of rice husk on synthesis of magnetic carbon composites by pyrolysis for supercapacitor application,2018
PDF00125,60232_9045,Evolution of the mass-loss rate during atmospheric and pressurized slow pyrolysis of wheat straw in a bench-scale reactor,2019
PDF00126,30711_4203,Biochar presence in soil significantly decreased saturated hydraulic conductivity due to swelling,2018
PDF00127,60935_8736,Soil aggregate stability improves greatly in response to soil water dynamics under natural rains in long-term organic fertilization,2018
PDF00128,59616_8697,Adsorption behavior of zirconium and molybdenum from nitric acid medium using low-cost adsorbent,2017
PDF00129,38957_4900,RETRACTED: Adsorption of U(VI) on magnetic iron oxide/Paecilomyces catenlannulatus composites,2020
PDF00130,66607_9139,Pristine and modified radix Angelicae dahuricae (Baizhi) residue for the adsorption of methylene blue from aqueous solution: A comparative study,2018
